,id,brand,car_type,car_model,problem_desc,problem_dict,complain_time,status
13,571220,广汽乘用车,传祺GS4新能源,2017款 1.5L PHEV 尊享版,广汽传祺GS4新能源空调压缩机故障导致不制冷,"H101,",2021-02-08,信息审核
14,571219,一汽-大众奥迪,奥迪A4L,2018款 2.0T 时尚型 30周年年型,一汽大众奥迪A4L日行灯不亮 4S店不予保修,"H82,I297,",2021-02-08,信息审核
15,571216,领克,领克01,2021款 2.0TD 两驱 型Pro,领克01车辆停放一周电瓶没电要求解决,"H146,",2021-02-08,信息审核
16,571210,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS方向机异响 电子助力管柱故障,"D59,D265,J301,",2021-02-08,信息审核
17,571209,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放发动机舱渗入泥沙,"Q322,",2021-02-08,信息审核
18,571206,一汽-大众,一汽-大众CC,2012款 1.8TSI DSG 尊贵型,一汽大众CC变速箱故障灯亮希望厂家处理,"B96,",2021-02-08,信息审核
19,571205,一汽-大众,迈腾,2013款 1.8TSI 舒适型,一汽大众迈腾变速器电控系统提示故障,"B115,",2021-02-08,信息审核
20,571203,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 尊贵型 7座,奇瑞瑞虎8水箱漏水希望厂家质保处理,"A37,A191,",2021-02-08,厂家受理
21,571201,一汽丰田,威驰,2017款 1.5L 手动 创行版,一汽丰田威驰发动机异响希望延保,"A9,",2021-02-08,信息审核
22,571200,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国VI,北京现代名图变速箱换挡有顿挫希望厂家处理,"B19,",2021-02-08,信息审核
23,571199,一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X自动启停失效 发动机油耗高,"A85,H263,",2021-02-08,处理反馈
24,571198,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408发动机故障灯亮节气门损坏,"A34,A251,",2021-02-08,处理反馈
25,571196,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5车身与车内支架生锈锈蚀,"H79,",2021-02-08,信息审核
26,571193,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7玻璃水管连接处脱落导致漏水,"H60,",2021-02-08,处理反馈
27,571191,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8发动机机油乳化问题未处理,"A13,",2021-02-08,处理反馈
28,571189,一汽-大众,宝来,2019款 宝来·传奇 1.5L 自动 时尚型 国V,一汽大众宝来冬季制动时存在异常响声,"E43,",2021-02-08,处理反馈
29,571188,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408大灯外壳有裂纹现象,"H220,",2021-02-08,信息审核
30,571251,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱报故障码维修未解决,"B96,",2021-02-08,信息审核
31,571247,华晨宝马,宝马5系新能源,2020款 530Le 里程升级版 先锋版,华晨宝马5系新能源天窗异响反复维修未解决,"H89,J298,",2021-02-08,信息审核
32,571246,众泰汽车,大迈X7,2018款 2.0T 自动 尊贵型,众泰大迈X7永久免费保养承诺未兑现,"M279,",2021-02-08,信息审核
33,571243,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8出现水泵漏水存在质量问题,"A24,A191,A221,B33,J298,N317,",2021-02-08,信息审核
34,571242,一汽-大众奥迪,奥迪A3,2016款 Sportback 1.4T 双离合 风尚型,一汽大众奥迪A3变速箱机电控制单元故障,"B96,B115,",2021-02-08,信息审核
35,571238,东风日产,天籁,2021款 2.0L XL Upper AD1 智行领航版,东风日产天籁车载USB无法读取数据,"H134,H155,J301,",2021-02-08,信息审核
36,571236,东风标致,标致2008,2015款 1.6THP 自动 时尚版,东风标致2008凸轮轴齿轮磨损希望处理,"A129,",2021-02-08,信息审核
37,571235,一汽奔腾,奔腾B30,2017款 1.6L 手动 舒适型,一汽奔腾B30发动机机脚螺丝出现断裂,"A241,",2021-02-08,信息审核
38,571234,一汽马自达,睿翼,2010款 2.0L 豪华版,一汽马自达睿翼副驾驶气囊盖板开裂,"H176,",2021-02-08,信息审核
39,571229,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁高速行驶安全气囊故障灯亮,"H103,",2021-02-08,信息审核
40,571227,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳颗粒捕捉器堵塞导致油耗高,"A85,A114,",2021-02-08,信息审核
41,571226,SWM斯威汽车,SWM斯威X3,2017款 1.5T 风尚型,斯威X3排气管冒白烟并伴有异味存在质量缺陷,"A114,",2021-02-08,厂家受理
42,571222,华晨宝马,宝马5系,2021款 530Li 领先型 M运动套装,华晨宝马5系经销商低开发票不给备用钥匙,"I295,M315,O353,",2021-02-08,信息审核
43,571220,广汽乘用车,传祺GS4新能源,2017款 1.5L PHEV 尊享版,广汽传祺GS4新能源空调压缩机故障导致不制冷,"H101,",2021-02-08,信息审核
44,571219,一汽-大众奥迪,奥迪A4L,2018款 2.0T 时尚型 30周年年型,一汽大众奥迪A4L日行灯不亮 4S店不予保修,"H82,I297,",2021-02-08,信息审核
45,571216,领克,领克01,2021款 2.0TD 两驱 型Pro,领克01车辆停放一周电瓶没电要求解决,"H146,",2021-02-08,信息审核
46,571210,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS方向机异响 电子助力管柱故障,"D59,D265,J301,",2021-02-08,信息审核
47,571209,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放发动机舱渗入泥沙,"Q322,",2021-02-08,信息审核
48,571206,一汽-大众,一汽-大众CC,2012款 1.8TSI DSG 尊贵型,一汽大众CC变速箱故障灯亮希望厂家处理,"B96,",2021-02-08,信息审核
49,571205,一汽-大众,迈腾,2013款 1.8TSI 舒适型,一汽大众迈腾变速器电控系统提示故障,"B115,",2021-02-08,信息审核
50,571203,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 尊贵型 7座,奇瑞瑞虎8水箱漏水希望厂家质保处理,"A37,A191,",2021-02-08,厂家受理
51,571201,一汽丰田,威驰,2017款 1.5L 手动 创行版,一汽丰田威驰发动机异响希望延保,"A9,",2021-02-08,信息审核
52,571200,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国VI,北京现代名图变速箱换挡有顿挫希望厂家处理,"B19,",2021-02-08,信息审核
53,571199,一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X自动启停失效 发动机油耗高,"A85,H263,",2021-02-08,处理反馈
54,571198,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408发动机故障灯亮节气门损坏,"A34,A251,",2021-02-08,处理反馈
55,571196,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5车身与车内支架生锈锈蚀,"H79,",2021-02-08,信息审核
56,571193,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7玻璃水管连接处脱落导致漏水,"H60,",2021-02-08,处理反馈
57,571191,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8发动机机油乳化问题未处理,"A13,",2021-02-08,处理反馈
58,571189,一汽-大众,宝来,2019款 宝来·传奇 1.5L 自动 时尚型 国V,一汽大众宝来冬季制动时存在异常响声,"E43,",2021-02-08,处理反馈
59,571188,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408大灯外壳有裂纹现象,"H220,",2021-02-08,信息审核
60,571185,奇瑞捷豹路虎,捷豹XEL,2020款 2.0T 200PS R-DYNAMIC S进取运动版,奇瑞捷豹路虎捷豹XEL油门踏板共振明显,"H268,",2021-02-08,处理反馈
61,571180,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L中控台异响希望处理	,"H93,",2021-02-08,信息审核
62,571179,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动方向盘脱皮希望厂家处理,"H157,",2021-02-08,信息审核
63,571175,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国V,一汽大众探岳变速箱异响存在质量问题,"B33,",2021-02-08,处理反馈
64,571173,吉利汽车,吉利ICON,2020款 1.5TD i6 BSG,吉利ICON玲珑轮胎开裂要求厂家处理,"F100,",2021-02-08,厂家受理
65,571172,上汽大众,凌渡,2015款 330TSI DSG 舒适版,上汽大众凌渡车内有严重异味影响身体健康,"H185,",2021-02-08,处理反馈
66,571169,上汽大众,途观L,2017款 330TSI 两驱 舒适版,上汽大众途观L变速箱机电单元故障,"B115,",2021-02-08,处理反馈
67,571168,一汽-大众奥迪,奥迪A3,2014款 Sportback 1.4T 双离合 进取型,一汽大众奥迪A3方向盘转不动故障灯亮,"D57,D291,",2021-02-08,信息审核
68,571167,星途,星途LX,2020款 乘风破浪版 1.5T CVT 星耀版,星途LX车机系统无法手机绑定希望处理,"H155,",2021-02-08,信息审核
69,571164,北京现代,朗动,2012款 1.6L 手动 领先型,北京现代朗动正常行驶汽油泵故障导致缺缸,"H78,",2021-02-08,信息审核
70,571163,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国V,广汽丰田凯美瑞中控台有开裂现象,"H168,",2021-02-08,信息审核
71,571162,一汽丰田,皇冠,2015款 2.0T 时尚版,一汽丰田皇冠中控屏开裂厂家未予理睬,"H168,",2021-02-08,信息审核
72,571161,上汽大众,途观L,2017款 380TSI 四驱 豪华版,上汽大众途观L变速箱进入紧急状态,"B84,B115,",2021-02-08,处理反馈
73,571160,一汽红旗,红旗HS7,2021款 2.0T 自动 两驱 智联旗畅版,红旗HS7冷车启动时刹车严重异响,"E43,",2021-02-08,信息审核
74,571159,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL左前门锁故障 后备箱状态不显示,"H68,H197,",2021-02-08,信息审核
75,571157,长安马自达,马自达3 昂克赛拉,2017款 1.5L 三厢 自动 豪华型 国VI,长安马自达昂克赛拉中控屏幕内屏开裂,"H168,",2021-02-08,信息审核
76,571155,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳自动启停失效 油耗高,"A85,H263,",2021-02-08,处理反馈
77,571154,一汽海马,福美来,2015款 1.6L 手动 挚爱版 M5,一汽海马福美来发动机异响 抖动不予解决,"A9,A24,",2021-02-08,信息审核
78,571152,一汽-大众,宝来,2019款 1.5L 自动 舒适型,一汽大众宝来转向加油时左前车轮异响,"G125,",2021-02-08,处理反馈
79,571151,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 风尚版 国VI,东风本田CR-V发动机机油增多希望解决,"A339,",2021-02-08,处理反馈
80,571147,一汽-大众,捷达,2010款 1.6 手动 前卫型,一汽大众捷达车体由内向外腐烂生锈严重,"H79,",2021-02-08,处理反馈
81,571144,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊贵型,一汽奔腾X40发动机故障报警 轮胎啃胎严重,"A34,G245,",2021-02-08,信息审核
82,571142,广汽乘用车,传祺GA4,2018款 200T 自动 尊享版,广汽传祺GA4买车时续保押金不退还,"L313,",2021-02-08,信息审核
83,571140,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾变速箱异响顿挫 加速无力,"B33,B19,B334,I295,",2021-02-08,处理反馈
84,571137,一汽-大众,探岳,2020款 380TSI 四驱 R-Line智联版,一汽大众探岳尾气排放不合格希望处理处理,"A114,",2021-02-08,处理反馈
85,571136,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度启动中发动机VTC执行器异响,"A9,",2021-02-08,处理反馈
86,571135,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L大灯内部流胶现象严重,"H220,",2021-02-08,信息审核
87,571134,福田汽车,欧曼,2008款 BJ4181SLFJA-6 牵引,福田欧曼差速器故障导致无法正常行驶,"H86,",2021-02-08,信息审核
88,571133,上汽通用五菱,五菱宏光,2018款 1.5L S 基本型,上汽通用五菱宏光经销商收取贷款解压费,"K307,",2021-02-08,处理反馈
89,571132,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,一汽丰田卡罗拉变速箱低速顿挫伴有异响,"B33,B19,",2021-02-08,信息审核
90,571131,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳颗粒捕捉器频繁堵塞油耗增高,"A85,A114,",2021-02-08,处理反馈
91,571130,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L颗粒捕捉器堵塞导致油耗高,"A85,A114,H170,",2021-02-08,处理反馈
92,571128,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞引起油耗高,"A85,A114,",2021-02-08,处理反馈
93,571127,众泰汽车,众泰T700,2017款 1.8T 双离合 尊享型,众泰T700变速箱无法加速客服联系不上,"B334,",2021-02-08,信息审核
94,571124,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line旗舰版,上汽大众途观L颗粒捕捉器堵塞导致油耗高,"A85,A114,",2021-02-08,处理反馈
95,571120,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5变速箱异响希望处理,"B33,",2021-02-08,厂家受理
96,571119,华晨宝马,宝马X1新能源,2018款 xDrive25Le 豪华型,华晨宝马X1新能源电机和减速器连接处有异响	,"B33,",2021-02-08,信息审核
97,571116,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L大灯内壁有流水状物质,"H88,",2021-02-08,信息审核
98,571113,东风日产,骐达TIIDA,2019款 1.6L CVT 智享版 国V,东风日产骐达严重亏电 车辆无法启动,"H146,",2021-02-08,信息审核
99,571112,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷车启动时有打齿声音,"A9,",2021-02-08,处理反馈
100,571111,长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克塞拉显示屏严重脱胶,"H134,H168,",2021-02-08,信息审核
101,571110,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,大众探岳店内发生事故保险理赔过度维修,"J306,",2021-02-08,处理反馈
102,571108,东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408发动机故障灯亮 无法提速,"A34,A160,",2021-02-08,信息审核
103,571107,广汽乘用车,传祺GS5,2019款 270T 自动 尊享版,广汽传祺GS5质量问题频发要求退车,"H82,H118,Q322,",2021-02-08,信息审核
104,571104,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L大灯内部流胶现象严重,"H220,",2021-02-08,信息审核
105,571102,长城汽车,欧拉好猫,2021款 400km标准续航 维纳斯版,欧拉好猫经销商销售承诺未兑现提不到车,"L313,L312,",2021-02-08,信息审核
106,571101,华晨宝马,宝马5系新能源,2020款 530Le 里程升级版 先锋版,华晨宝马5系新能源皮带断裂导致发动机损坏,"A329,A222,",2021-02-08,信息审核
107,571098,长安福特,翼虎,2015款 1.5L GTDi 两驱风尚型 5座,长安福特翼虎碳罐堵塞汽油箱无法加满,"H271,",2021-02-08,厂家受理
108,571093,奇瑞新能源,小蚂蚁,2019款 小蚂蚁 智炫版 4座 35kWh,奇瑞小蚂蚁动力电池故障 售后态度消极,"H343,I295,",2021-02-07,信息审核
109,571091,长安汽车,锐程CC,2021款 蓝鲸版 1.5T DCT 尊贵型,长安锐程CC天窗异响影响正常驾驶,"H89,",2021-02-07,处理反馈
110,571090,沃尔沃亚太,沃尔沃S60,2021款 T4 智逸豪华版,亚太沃尔沃S60车窗玻璃松动 车身色差大,"H72,H201,",2021-02-07,信息审核
111,571087,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 运动版,进口Jeep指南者车内异味恶臭难忍,"H185,",2021-02-07,信息审核
112,571086,东风日产,奇骏,2014款 2.5L XL CVT 四驱 豪华版,东风日产奇骏变速箱报P0776故障码,"B84,",2021-02-07,信息审核
113,571084,一汽-大众,高尔夫,2018款 1.6L 自动 舒适型,一汽大众高尔夫变速箱降挡冲击顿挫异响,"B33,B19,",2021-02-07,处理反馈
114,571081,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜模糊影响照明,"H82,",2021-02-07,处理反馈
115,571080,领克,领克03,2020款 1.5TD DCT 劲Pro版,领克03升级程序后油耗变高动力降低刹车变软,"O348,",2021-02-07,厂家受理
116,571079,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌变速箱低速顿挫抖动	,"B19,B95,",2021-02-07,信息审核
117,571078,上汽通用五菱,新宝骏RS-3,2020款 1.5L 手动 智能舒适型,新宝骏RS-3车身和车顶多处有掉漆的现象,"H81,",2021-02-07,处理反馈
118,571073,北京现代,瑞纳,2014款 1.4L 手动 时尚型GS 三厢,北京现代瑞纳刹车时有异响而且刹车失灵,"E43,E29,",2021-02-07,信息审核
119,571072,上汽大众,途安,2018款 途安L 280TSI 自动 豪华版 7座,上汽大众途安变速器和转向异响4S店无法处理,"B33,D59,",2021-02-07,处理反馈
120,571070,北京现代,悦动,2020款 1.6L 自动 悦值版GLS,北京现代悦动销售商出售问题车漆面有喷漆,"M284,",2021-02-07,信息审核
121,571069,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,东风本田杰德中控屏黑屏鼓风机异响,"H134,H185,H101,",2021-02-07,信息审核
122,571068,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS变速箱挡位错乱存在质量问题,"B84,B115,",2021-02-07,厂家受理
123,571064,上汽大众,途观,2016款 300TSI 自动 四驱 风尚视野版,上汽大众途观耦合器异响要求召回处理,"G127,",2021-02-07,处理反馈
124,571062,江淮汽车,瑞风S3,2014款 1.5L 手动 豪华智能型,江淮瑞风S3底盘生锈希望得到处理,"H79,",2021-02-07,处理反馈
125,571059,华晨宝马,宝马X1,2016款 sDrive18Li 尊享型,华晨宝马X1发动机机脚塌陷 天窗异响,"A24,H89,",2021-02-07,信息审核
126,571058,吉利汽车,熊猫,2009款 1.3L 手动 功夫版,吉利熊猫转向助力失效 后桥断裂,"D112,G230,",2021-02-07,信息审核
127,571057,北京现代,悦动,2020款 1.6L 自动 悦目版GL,北京现代悦动转向管柱处出现异响,"D59,",2021-02-07,信息审核
128,571056,一汽-大众,高尔夫·嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱换挡顿挫严重,"B19,",2021-02-07,处理反馈
129,571055,华晨宝马,宝马3系,2020款 325Li M运动套装,华晨宝马3系刹车片异常磨损希望处理,"E47,",2021-02-07,信息审核
130,571053,福田汽车,图雅诺,2019款 2.5T E5 4J25TC3,福田图雅诺发动机烧机油 钢板减震失弹,"A63,G171,",2021-02-07,信息审核
131,571052,长安福特,翼虎,2019款 EcoBoost 180 两驱 豪翼型 国V,长安福特翼虎低温时后悬架有异响现象,"G204,",2021-02-07,处理反馈
132,571050,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 7座,长安福特探险者行驶时汽油箱有异响,"H79,H147,",2021-02-07,处理反馈
133,571046,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾怠速时发动机有异响现象,"A9,",2021-02-07,处理反馈
134,571041,上汽集团,荣威360,2015款 1.5L   手动 豪华版,上汽荣威360行驶时前减震器和底盘异响,"G52,G56,",2021-02-07,用户评分
135,571039,北京奔驰,奔驰E级,2019款 E 300 L 运动时尚型 改款,北京奔驰E级正常行驶过程中轮毂开裂,"H243,",2021-02-07,信息审核
136,571037,东风标致,标致308S,2015款 1.2T 自动 劲驰版,东风标致308S更换正时皮带后发动机烧机油,"A63,",2021-02-07,处理反馈
137,571036,东风日产,启辰R50,2015款 1.6L 自动 时尚版,东风启辰R50发动机漏防冻液要求厂家处理,"A37,",2021-02-07,信息审核
138,571035,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国V,北京现代悦动方向盘异响转向沉重维修未解决,"D59,D156,",2021-02-07,信息审核
139,571034,一汽奔腾,奔腾X40,2019款 1.6L 手动 舒适型 国V,一汽奔腾X40发动机缸盖损坏导致抖动,"A24,",2021-02-07,处理反馈
140,571033,华晨中华,中华V3,2017款 1.5L 自动 智能型,华晨中华V3保修配件半年一直未到货,"N318,",2021-02-07,信息审核
141,571030,东风本田,INSPIRE,2019款 260TURBO 精致版 国V,东风本田INSPIRE行驶中失速容易熄火,"A34,A14,A255,",2021-02-07,信息审核
142,571028,东风日产,奇骏,2021款 2.5L CVT 4WD XL ITS 豪华 领航版,东风日产奇骏新车车内有金属摩擦异响,"H164,",2021-02-07,信息审核
143,571023,上汽集团,荣威950,2017款 30T 互联网行政至尊版,上汽荣威950频繁维修 店内出售问题车,"M284,N317,",2021-02-07,信息审核
144,571022,长安福特,蒙迪欧致胜,2011款 200 GTDi 时尚型,长安福特蒙迪欧致胜更换离合器后无法换挡,"J300,",2021-02-07,厂家受理
145,571021,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 尊贵型 5座,奇瑞瑞虎8仪表台中央下方出现异响,"H93,",2021-02-07,信息审核
146,571018,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾发动机异响希望厂家处理问题,"A9,",2021-02-07,处理反馈
147,571015,长安福特,锐际,2020款 EcoBoost 245 两驱 耀享款,长安福特锐际倍耐力轮胎开裂存在质量问题,"F100,",2021-02-07,处理反馈
148,571014,吉利汽车,远景X6,2018款 1.4T CVT 4G互联豪华型,吉利远景X6底盘多处生锈售后未解决问题,"H79,",2021-02-07,信息审核
149,571013,东风日产,启辰D60,2019款 十万荣耀 1.6L XL CVT 辰酷版 国V,启辰D60发动机异响 厂家拒绝三包索赔,"A9,",2021-02-07,信息审核
150,571012,上汽大众,途观,2016款 280TSI 自动 两驱 丝绸之路舒适版,大众途观变速箱机电控制单元故障,"B115,",2021-02-07,用户评分
151,571011,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,奇瑞瑞虎8 PLUS起步顿挫异响 中控异响,"B19,H93,Q322,",2021-02-07,处理反馈
152,571010,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 豪华导航版,JEEP进口指南者车内异味较重,"H185,",2021-02-07,厂家受理
153,571008,宝沃汽车,宝沃BX7,2016款 28T 两驱 精英版 5座,宝沃BX7发动机熄火多次维修未解决问题,"A14,J298,",2021-02-07,处理反馈
154,571007,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 舒适型 国V,一汽大众探歌韩泰轮胎老化开裂严重,"F100,",2021-02-07,处理反馈
155,571006,长安汽车,长安CS55 PLUS,2021款 蓝鲸版 1.5T DCT 豪华型,长安CS55 PLUS变速箱无法挂挡存在质量问题,"B20,B334,",2021-02-07,处理反馈
156,571003,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 劲享版,广汽菲克菲亚特菲翔4S店检测收费不合理,"K307,",2021-02-07,厂家受理
157,571002,奔驰（进口）,奔驰GLE,2021款 GLE 450 4MATIC 时尚型,奔驰GLE起动机发电机问题导致车辆熄火,"A14,",2021-02-07,信息审核
158,570999,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳发动机油耗高 变速箱顿挫异响,"A85,B33,B19,H15,",2021-02-07,处理反馈
159,570998,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动起步时变速箱顿挫而且有异响,"B33,B19,",2021-02-07,信息审核
160,570989,上汽通用五菱,新宝骏RS-5,2020款 300T CVT 智能尊贵型,新宝骏RS-5刹车失灵 仪表盘上制动故障灯亮,"E29,E62,H60,",2021-02-07,用户评分
161,570988,吉利汽车,缤瑞,2018款 14T CVT 缤致版,吉利缤瑞电瓶亏电导致发动机无法启动,"H146,",2021-02-07,信息审核
162,570986,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾侧标掉漆 刹车异响 减震异响,"E43,G52,H81,",2021-02-07,处理反馈
163,570984,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL 4S店修出新问题服务承诺不兑现,"J300,L314,N316,",2021-02-07,信息审核
164,570982,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁方向盘卡顿 升级程序后变重,"D123,D156,O348,",2021-02-07,处理反馈
165,570977,众泰汽车,众泰T600,2015款 1.5T 手动 旗舰型,众泰T600胎压传感器故障报警 押金不予退还	,"H203,K309,",2021-02-07,信息审核
166,570976,北京现代,索纳塔,2020款 270TGDi GLS DCT 精英版,北京现代索纳塔天窗异响维修未解决问题,"H89,",2021-02-07,信息审核
167,570974,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L四个轮毂有氧化的现象,"H243,",2021-02-07,信息审核
168,570972,一汽丰田,卡罗拉,2009款 1.6 手动 GL 天窗特别版,丰田卡罗拉4S店维修时使用非原厂件,"N319,",2021-02-07,信息审核
169,570969,郑州日产,途达,2018款 2.5L 自动 四驱 豪华版,郑州日产途达加速行驶时车身共振有异响,"H15,H268,",2021-02-07,信息审核
170,570967,江淮汽车,瑞风M3,2019款 创客版 1.8L 豪华型,江淮瑞风M3店内人员操作导致发动机故障,"J299,J304,",2021-02-07,用户评分
171,570965,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁中控台塑料件开裂 油箱异响,"E43,H168,H164,H147,",2021-02-07,信息审核
